code_site,nom_station_officiel,latitude_pollution,longitude_pollution,station_meteo,distance_km
FR30032,Heming,48.694725,6.965275,STRASBOURG-ENTZHEIM,52.18
FR26014,Dijon Trémouille,47.325745,5.041056,DIJON-LONGVIC,7.36
FR23249,LA CAME,47.32113,-2.127344,ST NAZAIRE-MONTOIR,2.2
FR10041,St Omer Ribot,50.74823,2.25978,DUNKERQUE,34.66
FR02016,Salon de Provence,43.63864,5.091892,SALON DE PROVENCE,3.15
FR12046,MONTAUBAN,44.022743,1.411761,MONTAUBAN,2.87
FR04141,Quai des Celestins,48.85278,2.360556,PARIS-MONTSOURIS,3.84
FR15017,Fontaine Les Balmes,45.19049,5.687023,GRENOBLE-ST GEOIRS,35.03
FR12054,Toulouse Rte Albi,43.643944,1.468244,TOULOUSE-BLAGNAC,7.63
FR04012,Place Victor Basch,48.827778,2.3275,PARIS-MONTSOURIS,1.02
FR02022,Arles,43.675114,4.62921,NIMES-GARONS,20.5
FR04185,POMMEUSE,48.81588,2.9912472,MELUN,32.33
FR04149,MONTGERON,48.7067,2.4572,ORLY,4.59
FR01011,Metz-Centre,49.119442,6.180833,AEROPORT METZ-NANCY-LORRAINE,16.23
FR16051,Vieux Thann,47.80596,7.125433,COLMAR-MEYENHEIM,25.09
FR01022,St-Julien-lès-Metz,49.131115,6.207225,AEROPORT METZ-NANCY-LORRAINE,17.08
FR20003,GARIBALDI,45.7681,4.8503,LYON-BRON,9.27
FR08022,Agathois-piscénois,43.2875,3.50484,BEZIERS-VIAS,12.9
FR05090,Le Havre ville-haute,49.514687,0.100645,OCTEVILLE,2.14
FR02009,Port Saint Louis,43.39378,4.801024,ISTRES,17.6
FR10026,Calais Parmentier,50.9578,1.89008,BOULOGNE-SEM,32.3
FR07038,Issoire Associations,45.544533,3.248278,CLERMONT-FD,28.02
FR38024,RDT SAINT-LEU,-21.213211,55.302845,GILLOT-AEROPORT,42.7
FR26019,Auxerre,47.800575,3.576189,AUXERRE-PERRIGNY,3.33
FR05089,Le Havre Lafaurie-montant,49.500187,0.110903,OCTEVILLE,3.9
FR34018,Montargis,47.99789,2.7195,AUXERRE-PERRIGNY,64.8
FR04323,EVRY,48.62722,2.429167,ORLY,10.37
FR31039,PAU TOURASSE,43.311092,-0.352116,PAU-UZEIN,9.72
FR03037,VALLEE HUVEAUNE,43.28334,5.511384,MARIGNANE,29.41
FR36025,ANNONAY,45.242825,4.672595,ST ETIENNE-BOUTHEON,44.82
FR39013,Robert Mansarde,14.675558,-60.94609,LAMENTIN-AERO,10.39
FR33122,La Léchère,45.53583,6.471111,BOURG ST MAURICE,24.3
FR22022,SARREGUEMINES,49.118343,7.083539,AEROPORT METZ-NANCY-LORRAINE,63.17
FR01001,Longlaville-Ecole,49.535004,5.804447,AEROPORT METZ-NANCY-LORRAINE,69.51
FR07008,Delille,45.78089,3.094583,CLERMONT-FD,4.3
FR31023,MASLACQ,43.436455,-0.695041,PAU-UZEIN,23.23
FR25052,Evreux  Boulevard de Normandie,49.02021,1.138717,EVREUX-HUEST,6.07
FR09204,La_Rochelle_trafic_3,46.16355,-1.146367,LA ROCHELLE-ILE DE RE,3.95
FR82040,Dole centre,47.09672,5.496389,TAVAUX SA,7.87
FR19021,Lorient CTM,47.75171,-3.37501,LORIENT-LANN BIHOUE,4.7
FR19053,Quimper Zola,47.986607,-4.097658,QUIMPER,4.93
FR16508,Thann 2,47.8144,7.1047,COLMAR-MEYENHEIM,25.93
