datetime,code_site,nom_site,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure,impact_index,impact_level
2026-03-26 00:00:00,FR14022,CHALONS,4.4,57.4,6.3,5.2,282.15,74.31,5.92,99849.27,11.46,faible
2026-03-26 00:00:00,FR14028,Rempart Perrier,4.5,71.4,8.6,2.4,282.15,74.31,5.92,99849.27,13.4,faible
2026-03-26 00:00:00,FR14031,Troyes La Tour ,7.7,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,14.69,faible
2026-03-26 00:00:00,FR14032,ST PARRES AUX TERTRE,7.5,66.1,9.7,5.2,282.15,74.31,5.92,99849.27,13.99,faible
2026-03-26 00:00:00,FR14033,STE SAVINE,5.5,71.4,4.6,4.4,282.15,74.31,5.92,99849.27,13.14,faible
2026-03-26 00:00:00,FR14042,St DIZIER L. Michel,6.6,60.1,9.7,5.2,282.15,74.31,5.92,99849.27,13.0,faible
2026-03-26 00:00:00,FR14051,CHARLEVILLE,4.0,66.4,5.9,5.2,282.15,74.31,5.92,99849.27,12.37,faible
2026-03-26 00:00:00,FR15013,Champ sur Drac,7.5,76.0,9.7,5.2,282.15,74.31,5.92,99849.27,15.19,faible
2026-03-26 00:00:00,FR15018,Voiron Urbain,2.5,79.9,4.7,5.2,282.15,74.31,5.92,99849.27,13.37,faible
2026-03-26 00:00:00,FR15031,Le Casset2,7.5,91.7,9.7,5.2,282.15,74.31,5.92,99849.27,17.09,faible
2026-03-26 00:00:00,FR15038,St Martin d'Heres,7.5,63.4,2.8,1.6,282.15,74.31,5.92,99849.27,12.27,faible
2026-03-26 00:00:00,FR15043,Grenoble Les Frenes,2.8,63.9,3.1,2.0,282.15,74.31,5.92,99849.27,11.05,faible
2026-03-26 00:00:00,FR15045,Grenoble PeriurbSud,2.4,53.8,0.1,5.2,282.15,74.31,5.92,99849.27,9.4,faible
2026-03-26 00:00:00,FR15046,Grenoble Boulevards,4.6,71.4,5.6,5.2,282.15,74.31,5.92,99849.27,13.1,faible
2026-03-26 00:00:00,FR15048,Gresivaudan Periurb,2.2,64.4,3.2,1.9,282.15,74.31,5.92,99849.27,10.94,faible
2026-03-26 00:00:00,FR15053,Rocade Sud Eybens,7.1,71.4,2.7,-0.7,282.15,74.31,5.92,99849.27,12.96,faible
2026-03-26 00:00:00,FR16017,Nord-Est Alsace,3.3,71.7,9.7,5.2,282.15,74.31,5.92,99849.27,13.45,faible
2026-03-26 00:00:00,FR16029,Strasbourg Nord,2.9,67.3,1.8,1.6,282.15,74.31,5.92,99849.27,11.24,faible
2026-03-26 00:00:00,FR16031,Vosges du Nord,7.5,71.2,9.7,5.2,282.15,74.31,5.92,99849.27,14.6,faible
2026-03-26 00:00:00,FR16034,Strasbourg Clemenceau,4.7,71.4,3.0,5.2,282.15,74.31,5.92,99849.27,12.69,faible
2026-03-26 00:00:00,FR16054,Colmar Centre,2.0,71.4,1.3,-1.3,282.15,74.31,5.92,99849.27,11.21,faible
2026-03-26 00:00:00,FR16060,C.C.3 Frontières,1.3,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,12.83,faible
2026-03-26 00:00:00,FR16064,Colmar Sud,7.5,73.4,9.7,5.2,282.15,74.31,5.92,99849.27,14.87,faible
2026-03-26 00:00:00,FR16065,Mulhouse Est,7.5,63.8,9.7,5.2,282.15,74.31,5.92,99849.27,13.71,faible
2026-03-26 00:00:00,FR16066,Mulhouse Sud 2,5.0,65.4,3.2,2.4,282.15,74.31,5.92,99849.27,11.91,faible
2026-03-26 00:00:00,FR16069,Mulhouse-Briand,4.7,71.4,-4.6,5.2,282.15,74.31,5.92,99849.27,11.42,faible
2026-03-26 00:00:00,FR16215,Strasbourg A35 Remparts,6.5,71.4,6.3,5.2,282.15,74.31,5.92,99849.27,13.77,faible
2026-03-26 00:00:00,FR16302,Donon Vosges Moyennes 2,1.4,74.3,0.4,0.4,282.15,74.31,5.92,99849.27,11.35,faible
2026-03-26 00:00:00,FR18035,Salouel,2.3,71.2,9.7,5.2,282.15,74.31,5.92,99849.27,13.1,faible
2026-03-26 00:00:00,FR18039,Arrest,7.5,83.0,7.8,4.1,282.15,74.31,5.92,99849.27,15.65,faible
